acq_date,fire_count,mean_frp,soil_temp_level_1,soil_moisture_level_1
2018-05-25,12,4.5625,,
2018-05-26,13,2.106923076923077,,
2018-05-27,18,85.93611111111112,,
2018-05-28,14,1.2135714285714287,,
2018-05-30,2,1.4,,
2018-05-31,8,4.5575,,
2018-06-01,46,91.71369565217391,,
2018-06-02,79,6.455443037974684,,
2018-06-03,29,2.6613793103448278,,
2018-06-04,6,6.739999999999999,,
2018-06-05,100,14.8826,,
2018-06-06,40,3.99675,,
2018-06-07,76,20.414210526315788,,
2018-06-08,114,10.103421052631578,,
2018-06-09,133,46.748270676691725,,
2018-06-10,310,23.077161290322582,,
2018-06-11,295,11.419457627118643,,
2018-06-12,282,19.56003546099291,,
2018-06-13,274,9.30868613138686,,
2018-06-14,79,4.744050632911392,,
2018-06-15,48,26.90895833333333,,
2018-06-17,3,0.8300000000000001,,
2018-06-18,3,2.03,,
2018-06-19,2,1.37,,
2018-06-20,1,0.77,,
2018-06-21,4,8.65,,
2018-06-22,2,3.69,,
2018-06-23,13,0.7,,
2018-06-24,14,4.103571428571429,,
2018-06-25,18,9.79277777777778,,
2018-06-26,42,11.385238095238096,,
2018-06-27,69,6.251159420289855,,
2018-06-28,316,47.885253164556964,,
2018-06-29,809,11.759456118665017,,
2018-06-30,421,20.132589073634204,,
2018-07-01,347,26.135100864553312,,
2018-07-02,549,26.34169398907104,,
2018-07-03,484,6.5230578512396695,,
2018-07-04,235,24.225021276595744,,
2018-07-05,371,5.493989218328841,,
2018-07-06,53,6.621698113207547,,
2018-07-07,56,7.143571428571429,,
2018-07-08,73,17.80041095890411,,
2018-07-09,36,7.4494444444444445,,
2018-07-10,26,1.2284615384615383,,
2018-07-11,9,1.3422222222222222,,
2018-07-12,21,2.7942857142857145,,
2018-07-13,10,3.7150000000000007,,
2018-07-14,15,1.7166666666666666,,
2018-07-15,9,2.5999999999999996,,
2018-07-16,2,0.955,,
2018-07-17,8,1.04875,,
2018-07-18,15,11.413333333333332,,
2018-07-19,16,58.58375,,
2018-07-20,134,14.632910447761194,,
2018-07-21,37,3.3151351351351352,,
2018-07-22,5,2.852,,
2018-07-23,49,11.723673469387755,,
2018-07-24,34,23.65558823529412,,
2018-07-25,33,1.2760606060606061,,
2018-07-26,20,6.536,,
2018-07-27,35,3.7451428571428576,,
2018-07-28,56,38.57714285714286,,
2018-07-29,56,21.28839285714286,,
2018-07-30,169,13.421301775147928,,
2018-07-31,256,21.3960546875,,
2018-08-01,233,5.747467811158798,,
2018-08-02,163,10.403006134969326,,
2018-08-03,5,22.619999999999997,,
2018-08-04,82,16.38463414634146,,
2018-08-05,53,23.028867924528303,,
2018-08-06,68,8.815588235294118,,
2018-08-07,176,7.138181818181818,,
2018-08-08,258,20.50003875968992,,
2018-08-09,254,20.922086614173228,,
2018-08-10,219,11.85675799086758,,
2018-08-11,207,9.398019323671496,,
2018-08-12,211,7.870236966824644,,
2018-08-13,329,38.01124620060791,,
2018-08-14,258,17.137868217054262,,
2018-08-15,179,33.85251396648045,,
2018-08-16,145,5.535172413793104,,
2018-08-17,42,2.658095238095238,,
2018-08-18,27,12.342222222222222,,
2018-08-19,58,7.46,,
2018-08-20,61,7.3762295081967215,,
2018-08-21,21,2.139047619047619,,
2018-08-23,6,3.185,,
2018-08-24,5,1.7260000000000002,,
2018-08-25,10,12.33,,
2018-08-26,7,0.8285714285714285,,
2018-08-27,4,14.2375,,
2018-08-28,8,2.1399999999999997,,
2018-08-29,12,26.511666666666667,,
2018-08-30,12,7.778333333333333,,
2018-08-31,8,1.07125,,
2018-09-01,8,6.4625,,
2018-09-02,15,8.889999999999999,,
2018-09-03,3,145.94000000000003,,
2018-09-04,41,15.444634146341464,,
2018-09-05,26,7.702692307692308,,
2018-09-06,2,1.15,,
2018-09-07,2,1.2149999999999999,,
2018-09-08,14,7.78,,
2018-09-09,28,23.89392857142857,,
2018-09-10,57,26.625964912280704,,
2018-09-11,28,4.904642857142858,,
2018-09-12,31,16.45935483870968,,
2018-09-13,246,42.10186991869919,,
2018-09-14,401,15.385087281795512,,
2018-09-15,175,22.3996,,
2018-09-16,142,38.87380281690141,,
2018-09-17,137,4.635985401459854,,
2018-09-18,66,21.80818181818182,,
2018-09-19,62,1.8735483870967742,,
2018-09-20,15,4.494,,
2018-09-21,72,10.850833333333334,,
2018-09-22,150,27.859333333333332,,
2018-09-23,129,4.733488372093023,,
2018-09-24,22,1.9377272727272727,,
2018-09-25,24,4.439166666666666,,
2018-09-26,24,4.645833333333333,,
2018-09-27,40,7.1259999999999994,,
2018-09-28,64,3.58390625,,
2018-09-29,57,27.06947368421053,,
2018-09-30,87,16.276896551724136,,
2018-10-01,33,16.040606060606063,,
2018-10-02,7,3.1014285714285714,,
2018-10-03,7,0.8614285714285714,,
2018-10-04,1,2.2,,
2018-10-05,7,16.485714285714284,,
2018-10-10,1,4.36,,
2018-10-13,3,0.91,,
